ticker,ccy,date,PX_LAST
BISBGBR Index,GBP,2013-09-30,104.86
BISBGBR Index,GBP,2013-10-31,104.76
BISBGBR Index,GBP,2013-11-30,105.99
BISBGBR Index,GBP,2013-12-31,107.44
BISBGBR Index,GBP,2014-01-31,108.37
BISBGBR Index,GBP,2014-02-28,108.99
BISBGBR Index,GBP,2014-03-31,108.49
BISBGBR Index,GBP,2014-04-30,109.41
BISBGBR Index,GBP,2014-05-31,109.99
BISBGBR Index,GBP,2014-06-30,111.17
BISBGBR Index,GBP,2014-07-31,112.35
BISBGBR Index,GBP,2014-08-31,111.39
BISBGBR Index,GBP,2014-09-30,110.85
BISBGBR Index,GBP,2014-10-31,110.79
BISBGBR Index,GBP,2014-11-30,110.27
BISBGBR Index,GBP,2014-12-31,111.12
BISBGBR Index,GBP,2015-01-31,111.35
BISBGBR Index,GBP,2015-02-28,113.75
BISBGBR Index,GBP,2015-03-31,113.74
BISBGBR Index,GBP,2015-04-30,113.22
BISBGBR Index,GBP,2015-05-31,114.9
BISBGBR Index,GBP,2015-06-30,115.98
BISBGBR Index,GBP,2015-07-31,117.64
BISBGBR Index,GBP,2015-08-31,118.6
BISBGBR Index,GBP,2015-09-30,116.42
BISBGBR Index,GBP,2015-10-31,115.8
BISBGBR Index,GBP,2015-11-30,118.05
BISBGBR Index,GBP,2015-12-31,116.05
BISBGBR Index,GBP,2016-01-31,112.27
BISBGBR Index,GBP,2016-02-29,109.76
BISBGBR Index,GBP,2016-03-31,108.11
BISBGBR Index,GBP,2016-04-30,106.79
BISBGBR Index,GBP,2016-05-31,109.16
BISBGBR Index,GBP,2016-06-30,106.94
BISBGBR Index,GBP,2016-07-31,100.1
BISBGBR Index,GBP,2016-08-31,98.9
BISBGBR Index,GBP,2016-09-30,99.28
BISBGBR Index,GBP,2016-10-31,94.05
BISBGBR Index,GBP,2016-11-30,96.86
BISBGBR Index,GBP,2016-12-31,99.27
BISBGBR Index,GBP,2017-01-31,97.17
BISBGBR Index,GBP,2017-02-28,98.08
BISBGBR Index,GBP,2017-03-31,96.83
BISBGBR Index,GBP,2017-04-30,98.84
BISBGBR Index,GBP,2017-05-31,99.87
BISBGBR Index,GBP,2017-06-30,97.73
BISBGBR Index,GBP,2017-07-31,97.81
BISBGBR Index,GBP,2017-08-31,96.23
BISBGBR Index,GBP,2017-09-30,98.06
BISBGBR Index,GBP,2017-10-31,98.29
BISBGBR Index,GBP,2017-11-30,98.94
BISBGBR Index,GBP,2017-12-31,99.74
BISBGBR Index,GBP,2018-01-31,99.9
BISBGBR Index,GBP,2018-02-28,100.45
BISBGBR Index,GBP,2018-03-31,100.5
BISBGBR Index,GBP,2018-04-30,101.9
BISBGBR Index,GBP,2018-05-31,100.41
BISBGBR Index,GBP,2018-06-30,99.99
BISBAUR Index,AUD,1994-01-31,74.78
BISBAUR Index,AUD,1994-02-28,75.94
BISBAUR Index,AUD,1994-03-31,74.86
BISBAUR Index,AUD,1994-04-30,75.05
BISBAUR Index,AUD,1994-05-31,75.42
BISBAUR Index,AUD,1994-06-30,75.89
BISBAUR Index,AUD,1994-07-31,74.76
BISBAUR Index,AUD,1994-08-31,75.09
BISBAUR Index,AUD,1994-09-30,74.49
BISBAUR Index,AUD,1994-10-31,73.58
BISBAUR Index,AUD,1994-11-30,75.46
BISBAUR Index,AUD,1994-12-31,78.47
BISBAUR Index,AUD,1995-01-31,77.16
BISBAUR Index,AUD,1995-02-28,74.86
BISBAUR Index,AUD,1995-03-31,72.01
BISBAUR Index,AUD,1995-04-30,70.35
BISBAUR Index,AUD,1995-05-31,70.04
BISBAUR Index,AUD,1995-06-30,69.28
BISBAUR Index,AUD,1995-07-31,70.6
BISBAUR Index,AUD,1995-08-31,74.16
BISBAUR Index,AUD,1995-09-30,76.54
BISBAUR Index,AUD,1995-10-31,76.52
BISBAUR Index,AUD,1995-11-30,75.64
BISBAUR Index,AUD,1995-12-31,75.52
BISBAUR Index,AUD,1996-01-31,75.95
