ticker,ccy,date,PX_LAST
BISNNZR Index,NZD,1998-07-31,88.45
BISNNZR Index,NZD,1998-08-31,87.35
BISNNZR Index,NZD,1998-09-30,85.57
BISNNZR Index,NZD,1998-10-31,84.43
BISNNZR Index,NZD,1998-11-30,85.56
BISNNZR Index,NZD,1998-12-31,83.63
BISNNZR Index,NZD,1999-01-31,85.14
BISNNZR Index,NZD,1999-02-28,86.8
BISNNZR Index,NZD,1999-03-31,86.28
BISNNZR Index,NZD,1999-04-30,87.43
BISNNZR Index,NZD,1999-05-31,88.49
BISNNZR Index,NZD,1999-06-30,85.87
BISNNZR Index,NZD,1999-07-31,84.9
BISNNZR Index,NZD,1999-08-31,83.88
BISNNZR Index,NZD,1999-09-30,82.29
BISNNZR Index,NZD,1999-10-31,80.35
BISNNZR Index,NZD,1999-11-30,80.82
BISNNZR Index,NZD,1999-12-31,80.18
BISNNZR Index,NZD,2000-01-31,80.77
BISNNZR Index,NZD,2000-02-29,79.04
BISNNZR Index,NZD,2000-03-31,79.59
BISNNZR Index,NZD,2000-04-30,81.16
BISNNZR Index,NZD,2000-05-31,78.57
BISNNZR Index,NZD,2000-06-30,77.27
BISNNZR Index,NZD,2000-07-31,76.25
BISNNZR Index,NZD,2000-08-31,74.61
BISNNZR Index,NZD,2000-09-30,71.46
BISNNZR Index,NZD,2000-10-31,70.26
BISNNZR Index,NZD,2000-11-30,70.66
BISNNZR Index,NZD,2000-12-31,74.65
BISNNZR Index,NZD,2001-01-31,76.66
BISNNZR Index,NZD,2001-02-28,75.77
BISNNZR Index,NZD,2001-03-31,74.85
BISNNZR Index,NZD,2001-04-30,73.48
BISNNZR Index,NZD,2001-05-31,75.69
BISNNZR Index,NZD,2001-06-30,75.09
BISNNZR Index,NZD,2001-07-31,74.69
BISNNZR Index,NZD,2001-08-31,77.03
BISNNZR Index,NZD,2001-09-30,75.1
BISNNZR Index,NZD,2001-10-31,74.98
BISNNZR Index,NZD,2001-11-30,75.49
BISNNZR Index,NZD,2001-12-31,76.01
BISNNZR Index,NZD,2002-01-31,78.25
BISNNZR Index,NZD,2002-02-28,77.86
BISNNZR Index,NZD,2002-03-31,79.46
BISNNZR Index,NZD,2002-04-30,80.69
BISNNZR Index,NZD,2002-05-31,82.24
BISNNZR Index,NZD,2002-06-30,85.17
BISNNZR Index,NZD,2002-07-31,82.74
BISNNZR Index,NZD,2002-08-31,80.76
BISNNZR Index,NZD,2002-09-30,81.9
BISNNZR Index,NZD,2002-10-31,84.27
BISNNZR Index,NZD,2002-11-30,85.83
