root,level1_name,level1_id,level2_name,level2_id,level3_name,level3_id,level4_name,level4_id
MagBucket,Total Return Strategies,5002,Dividends,5018,Dividends_DEDZ7_Future,5118,Dividends_DEDZ7_Future,5305
MagBucket,Total Return Strategies,5002,Dividends,5018,Dividends_DEDZ9_Future,5119,Dividends_DEDZ9_Future,5306
MagBucket,Total Return Strategies,5002,Dividends,5018,Dividends_DJE50_Future,5120,Dividends_DJE50_Future,5307
MagBucket,Total Return Strategies,5002,Dividends,5018,Dividends_MNDZ5_Future,5121,Dividends_MNDZ5_Future,5308
MagBucket,Total Return Strategies,5002,Dividends,5018,Dividends_MNDZ6_Future,5122,Dividends_MNDZ6_Future,5309
MagBucket,Total Return Strategies,5002,Dividends,5018,Dividends_NKY_Future,5123,Dividends_NKY_Future,5310
MagBucket,Total Return Strategies,5002,Dividends,5018,Dividends_UKDZ5_Future,5124,Dividends_UKDZ5_Future,5311
MagBucket,Total Return Strategies,5002,Dividends,5018,Dividends_UKDZ6_Future,5125,Dividends_UKDZ6_Future,5312
MagBucket,Total Return Strategies,5002,Dividends,5018,Dividends_UKX_Future,5126,Dividends_UKX_Future,5313
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_Australian_Equity_Sideways,5127,Range_Bound_SPI_Straddle,5314
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_Brazilian_Equity_Sideways,5128,Range_Bound_EWZ_Iron_Fly,5315
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_Chinese_Equity_Upside,5129,Range_Bound_HSCEI_Call_Fly,5316
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_Emerging_Equity_Downside,5130,Range_Bound_EEM_Put_Spread_Ratio,5317
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_European_Equity_Downside,5131,Range_Bound_SX5E_Put_Fly,5318
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_European_Equity_Upside,5132,Range_Bound_SX5E_Call_Spread_Ratio,5319
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_French_Equity_Sideways,5133,Range_Bound_CAC_Straddle,5320
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_Italian_Equity_Sideways,5134,Range_Bound_FTSEMIB_Straddle,5321
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_Japanese_Equity_Upside,5135,Range_Bound_NKY_Call_Fly,5322
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_Spanish_Equity_Sideways,5136,Range_Bound_IBEX_Straddle,5323
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_Swiss_Equity_Upside,5137,Range_Bound_SMI_Call_Fly,5324
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_UK_Equity_Downside,5138,Range_Bound_UKX_Put_Spread_Ratio,5325
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_UK_Equity_Sideways,5139,Range_Bound_UKX_Iron_Fly,5326
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_UK_Equity_Sideways,5139,Range_Bound_UKX_Straddle,5327
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_UK_Equity_Upside,5140,Range_Bound_UKX_Call_Spread_Ratio,5328
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_US_Equity_Downside,5141,Range_Bound_SPX_Put_Spread_Ratio,5329
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_US_Equity_Sideways,5142,Range_Bound_SPX_Iron_Condor,5330
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_US_Equity_Sideways,5142,Range_Bound_SPX_Iron_Fly,5331
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_US_Equity_Upside,5143,Range_Bound_SPX_Call_Spread_Ratio,5332
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_US_Long_Bond_Downside,5144,Range_Bound_US_Long_Bond_Put_Spread_Ratio,5333
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_US_Small_Cap_Equity_Sideways,5145,Range_Bound_RUY_Straddle,5334
MagBucket,Total Return Strategies,5002,Range Bound,5019,Range_Bound_VIX_Sideways,5146,Range_Bound_VIX,5335
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_AUDUSD_Sideways,5147,Relative_Value_AUDUSD_Iron_Fly,5336
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_AUDUSD_Upside,5148,Relative_Value_AUDUSD_Call_Spread_Collar,5337
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_Developed_Equity_Emerging_Equity,5149,Relative_Value_DM_EM,5338
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_EURJPY_Upside,5150,Relative_Value_EURJPY_Call_Spread_Collar,5339
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_EURNOK_Downside,5151,Relative_Value_EURNOK_Put_Spread_Collar,5340
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_European_Banks_European_Equity,5152,Relative_Value_SX7E_SX5E,5341
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_European_Equity_Put_US_Equity_Put,5153,Relative_Value_SX5E_SPX_Put,5342
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_European_Equity_US_Equity,5154,Relative_Value_EU_US,5343
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_EURUSD_Downside,5155,Relative_Value_EURUSD_Put_Spread_Collar,5344
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_EURUSD_Sideways,5156,Relative_Value_EURUSD_Iron_Fly,5345
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_EURUSD_Upside,5157,Relative_Value_EURUSD_Call_Spread_Collar,5346
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_GBPCHF_Upside,5158,Relative_Value_FX_GBPCHF,5347
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_GBPUSD_Downside,5159,Relative_Value_USDGBP_Put_Spread_Collar,5348
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_German_Equity_French_Equity,5160,Relative_Value_DAX_CAC,5349
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_German_Equity_US_Equity,5161,Relative_Value_DAX_SPX_Put,5350
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_Indian_Equity_Emerging_Equity,5162,Relative_Value_India_EM,5351
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_Irish_Bond_French_Bond,5163,Relative_Value_Irish_OAT,5352
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_Italian_30yr_Bond_10yr_Bond,5164,Relative_Value_ITA30y_ITA10y,5353
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_Italian_Bond_German_Bond,5165,Relative_Value_BTP_Bobl,5354
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_Italian_Bond_German_Bond,5165,Relative_Value_BTP_Bund,5355
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_Italian_Equity_Call_Spanish_Equity_Call,5166,Relative_Value_MIB_IBEX_Call,5356
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_Italian_Equity_European_Equity,5167,Relative_Value_Italy_EU,5357
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_Italian_Equity_Spanish_Equity,5168,Relative_Value_MIB_IBEX,5358
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_Japanese_30yr_Bond_10yr_Bond,5169,Relative_Value_JGB_Curve,5359
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_Japanese_30yr_Bond_10yr_Bond,5169,Relative_Value_JPY30y_JPY10y,5360
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_Japanese_Equity_Korean_Equity,5170,Relative_Value_NKY_KOSPI2,5361
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_Spanish_Bond_German_Bond,5171,Relative_Value_Bonos_Bund,5362
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_Spanish_Bond_Italian_Bond,5172,Relative_Value_Bonos_BTP,5363
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_Spanish_Equity_European_Equity,5173,Relative_Value_Spain_EU,5364
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_Spanish_Equity_German_Equity,5174,Relative_Value_IBEX_DAX ,5365
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_UK_Bond_Italian_Bond,5175,Relative_Value_Gilt_JGB,5366
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_UK_Equity_Large_Cap_Small_Cap,5176,Relative_Value_UKX_MCX,5367
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_UK_Equity_Small_Cap_Large_Cap,5177,Relative_Value_MCX_UKX,5368
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_US_10yr_Bond_2yr_Bond,5178,Relative_Value_US10y_US2y,5369
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_US_10yr_Bond_5yr_Bond,5179,Relative_Value_US10y_US5y,5370
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_US_Equity_Broad_Technology,5180,Relative_Value_SPX_NDX,5371
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_US_Equity_European_Equity,5181,Relative_Value_US_EU,5372
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_US_Ultra_Bond_5yr_Bond,5182,Relative_Value_USUltra_US5y,5373
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_USDAUD_Upside,5183,Relative_Value_FX_USDAUD,5374
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_USDCAD_Upside,5184,Relative_Value_FX_USDCAD,5375
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_USDEUR_Upside,5185,Relative_Value_FX_USDEUR,5376
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_USDGBP_Sideways,5186,Relative_Value_USDGBP_Iron_Fly,5377
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_USDGBP_Upside,5187,Relative_Value_FX_USDGBP,5378
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_USDJPY_Upside,5188,Relative_Value_USDJPY_Call_Spread_Collar,5379
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_USDJPY_Upside,5188,Relative_Value_USDJPY_Short_Put_Spread_Collar,5380
MagBucket,Total Return Strategies,5002,Relative Value,5020,Relative_Value_USDKRW_Upside,5189,Relative_Value_FX_USDKRW,5381
