,Strategy,
1993-10-28 00:00:00,0.001615796,
1993-10-29 00:00:00,-0.000597395,
1993-11-01 00:00:00,-0.003527528,
1993-11-02 00:00:00,-0.004380041,
1993-11-03 00:00:00,-0.000547125,
1993-11-04 00:00:00,0.002573113,
1993-11-05 00:00:00,-0.002106413,
1993-11-08 00:00:00,0.002432058,
1993-11-09 00:00:00,0.002228394,
1993-11-10 00:00:00,-0.004315632,
1993-11-11 00:00:00,-0.000615257,
1993-11-12 00:00:00,-0.002235473,
1993-11-15 00:00:00,0.003257899,
1993-11-16 00:00:00,-5.64749E-05,
1993-11-17 00:00:00,0.007842568,
1993-11-18 00:00:00,0.000909382,
1993-11-19 00:00:00,0.003220638,
1993-11-22 00:00:00,-0.000427422,
1993-11-23 00:00:00,0.000812147,
1993-11-24 00:00:00,-0.000668989,
1993-11-25 00:00:00,0.001236113,
1993-11-26 00:00:00,-0.000758236,
1993-11-29 00:00:00,-0.000515599,
1993-11-30 00:00:00,0.001218072,
1993-12-01 00:00:00,-0.002551545,
1993-12-02 00:00:00,0.002877758,
1993-12-03 00:00:00,1.49536E-05,
1993-12-06 00:00:00,0.000561585,
1993-12-07 00:00:00,-0.006768031,
1993-12-08 00:00:00,0.008329539,
1993-12-09 00:00:00,0.000129192,
1993-12-10 00:00:00,0.002000667,
1993-12-13 00:00:00,-0.004100539,
1993-12-14 00:00:00,0.001979761,
1993-12-15 00:00:00,0.000661792,
1993-12-16 00:00:00,0.001329747,
1993-12-17 00:00:00,0.005125993,
1993-12-20 00:00:00,0.002666498,
1993-12-21 00:00:00,0.003302299,
1993-12-22 00:00:00,-0.001973326,
1993-12-23 00:00:00,0.003803202,
1993-12-24 00:00:00,0.003172034,
1993-12-27 00:00:00,0.000164035,
1993-12-28 00:00:00,0.000163353,
1993-12-29 00:00:00,-0.00028252,
1993-12-30 00:00:00,0.000449971,
1993-12-31 00:00:00,-0.001192454,
1994-01-03 00:00:00,0.000102382,
1994-01-04 00:00:00,0.003525341,
1994-01-05 00:00:00,0.006902383,
1994-01-06 00:00:00,0.000885575,
1994-01-07 00:00:00,-0.000460654,
1994-01-10 00:00:00,0.000151516,
1994-01-11 00:00:00,-0.001019525,
1994-01-12 00:00:00,0.005549713,
1994-01-13 00:00:00,-0.00561876,
1994-01-14 00:00:00,-0.005277208,
1994-01-17 00:00:00,0.004407996,
1994-01-18 00:00:00,-0.002653361,
1994-01-19 00:00:00,-0.00223705,
1994-01-20 00:00:00,0.005042032,
1994-01-21 00:00:00,-0.001024708,
1994-01-24 00:00:00,0.002253681,
1994-01-25 00:00:00,-0.001235249,
1994-01-26 00:00:00,-0.002829123,
1994-01-27 00:00:00,-0.001410678,
1994-01-28 00:00:00,0.000749307,
1994-01-31 00:00:00,0.001568155,
1994-02-01 00:00:00,-0.003565615,
1994-02-02 00:00:00,-0.002825053,
1994-02-03 00:00:00,0.00124957,
1994-02-04 00:00:00,-0.00298877,
1994-02-07 00:00:00,-0.001597124,
1994-02-08 00:00:00,-0.00840589,
1994-02-09 00:00:00,-0.003710783,
1994-02-10 00:00:00,0.001083131,
1994-02-11 00:00:00,0.000177646,
1994-02-14 00:00:00,-0.000215912,
1994-02-15 00:00:00,-0.00336799,
1994-02-16 00:00:00,-0.002799574,
1994-02-17 00:00:00,0.004201396,
1994-02-18 00:00:00,-0.001273409,
1994-02-21 00:00:00,-0.001891221,
1994-02-22 00:00:00,0.001573606,
1994-02-23 00:00:00,3.61869E-05,
1994-02-24 00:00:00,-8.61774E-05,
1994-02-25 00:00:00,-0.004388585,
1994-02-28 00:00:00,-0.000701387,
1994-03-01 00:00:00,-0.002905887,
1994-03-02 00:00:00,0.003957438,
1994-03-03 00:00:00,0.00166193,
1994-03-04 00:00:00,-0.001837112,
1994-03-07 00:00:00,-0.000751464,
1994-03-08 00:00:00,-0.000419496,
1994-03-09 00:00:00,-0.00063188,
1994-03-10 00:00:00,-0.009027407,
1994-03-11 00:00:00,-0.003461445,
1994-03-14 00:00:00,0.007189937,
1994-03-15 00:00:00,-0.000140224,
1994-03-16 00:00:00,-0.00297506,
1994-03-17 00:00:00,-0.002409489,
1994-03-18 00:00:00,0.000789772,
1994-03-21 00:00:00,0.000588948,
1994-03-22 00:00:00,-0.002340133,
1994-03-23 00:00:00,0.001098653,
1994-03-24 00:00:00,-0.006952991,
1994-03-25 00:00:00,-0.001569629,
1994-03-28 00:00:00,0.001300804,
1994-03-29 00:00:00,-0.003970407,
1994-03-30 00:00:00,-0.002427706,
1994-03-31 00:00:00,-0.004136144,
1994-04-01 00:00:00,-0.000109133,
1994-04-04 00:00:00,4.52788E-05,
1994-04-05 00:00:00,0.010943089,
1994-04-06 00:00:00,0.003814639,
1994-04-07 00:00:00,0.001314316,
1994-04-08 00:00:00,-1.2143E-05,
1994-04-11 00:00:00,-0.00628764,
1994-04-12 00:00:00,0.005449338,
1994-04-13 00:00:00,-0.000651444,
1994-04-14 00:00:00,-0.00127574,
1994-04-15 00:00:00,-0.001092281,
1994-04-18 00:00:00,0.001675757,
