,AUDCAD,AUDCHF,AUDJPY,AUDNOK,AUDNZD,AUDSEK,AUDUSD,CADCHF,CADJPY,CADNOK,CADSEK,CHFJPY,CHFNOK,CHFSEK,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNOK,EURNZD,EURSEK,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNOK,GBPNZD,GBPSEK,GBPUSD,NOKJPY,NOKSEK,NZDCAD,NZDCHF,NZDJPY,NZDNOK,NZDSEK,NZDUSD,SEKJPY,USDCAD,USDCHF,USDJPY,USDNOK,USDSEK,
1992-01-28,0.008571794,-0.00089685,0.011363648,-0.003483619,0.003084645,-0.003578308,0.007804899,-0.009468469,0.00279043,-0.012053118,-0.012146463,0.012260653,-0.002586988,-0.002681818,0.003551416,0.012124644,0.002654419,0.001663102,0.014917453,6.6466E-05,0.006636628,-2.87071E-05,0.011358393,0.001887994,0.010462032,0.00099091,0.013254795,-0.001596829,0.004973467,-0.0016917,0.009695227,0.014852016,-9.51288E-05,0.005487073,-0.003981358,0.008278379,-0.006567335,-0.006661549,0.004719434,0.014949175,0.000768474,-0.008697611,0.00355844,-0.011281948,-0.01137552,
1992-01-29,-0.003582281,-0.005123023,-0.004240124,-0.00566612,-0.002299682,-0.006758961,-0.002219391,-0.001540755,-0.00065744,-0.002084439,-0.003177652,0.000883495,-0.000543931,-0.001637307,0.008330318,0.004747695,0.003206735,-0.001833204,0.004090615,0.002662342,0.006030484,0.001568585,0.006112007,0.010164422,0.006581579,0.005040511,0.00592461,0.004495856,0.007864459,0.003401882,0.007946211,0.001427515,-0.001093502,-0.001282598,-0.002823336,-0.00194017,-0.003366814,-0.00445989,8.06744E-05,0.002521436,-0.001363215,-0.002903709,-0.002020575,-0.003447255,-0.004540253,
1992-01-30,0.010794601,0.024163758,0.011019052,0.02681935,0.010196446,0.027907591,0.007468284,0.013369112,0.00022381,0.016025574,0.017114373,-0.013146121,0.002657586,0.003747106,-0.024631981,-0.013836879,-0.000466991,-0.00156738,-0.013613978,0.002190906,-0.014435154,0.00328059,-0.017165653,-0.023065323,-0.012269852,0.001100491,-0.012046892,0.003758416,-0.012868145,0.004848099,-0.015598673,-0.015805724,0.001089868,0.000598184,0.013967252,0.000822034,0.016623648,0.017712407,-0.002728978,-0.016896987,0.003326464,0.016694411,0.003550571,0.019350183,0.020438594,
1992-01-31,0.003173677,-0.003148228,0.002833159,-0.005587731,0.00367315,-0.005756602,0.00564474,-0.006321906,-0.000340513,-0.008761416,-0.008930293,0.005981393,-0.002439511,-0.002608387,-0.00084561,0.002328062,-0.003993844,-0.00030757,0.00198745,-0.006433216,0.00282753,-0.006602004,0.00479899,-0.000538125,0.002635544,-0.003686362,0.002294874,-0.006125653,0.003135008,-0.006294388,0.005106388,0.008420555,-0.000168746,-0.000499473,-0.006821379,-0.00083998,-0.009260898,-0.009429779,0.001971606,0.008588994,-0.002471289,-0.008793195,-0.002811651,-0.011232917,-0.011401928,
1992-02-03,0.000707483,-0.001649102,0.003236702,-0.001218175,-0.000466708,-0.001265737,0.000451739,-0.002356585,0.002529219,-0.001925658,-0.001973219,0.004885804,0.000430927,0.000383365,0.004350715,0.005058198,0.002701613,6.37693E-05,0.007587417,0.00313254,0.003884007,0.003084978,0.004802454,0.004286946,0.004994428,0.002637844,0.007523648,0.003068771,0.003820237,0.003021209,0.004738685,0.004454877,-4.75616E-05,0.001174191,-0.001182394,0.00370341,-0.000751467,-0.000799028,0.000918447,0.004502439,0.000255744,-0.002100841,0.002784963,-0.001669914,-0.001717476,
1992-02-04,0.000748433,-0.008515011,-0.003268921,-0.01095363,-0.008464698,-0.010546884,-0.0056298,-0.009262574,-0.00401813,-0.01169938,-0.011291604,0.005259322,-0.002456406,-0.002061514,0.011425209,0.012175731,0.002897757,0.003937476,0.00816933,0.000431616,0.002949138,0.000823007,0.005812973,0.007485108,0.008235954,-0.001049757,0.004220348,-0.003509911,-0.000998669,-0.003112751,0.001859231,0.007740903,0.000392197,0.009212331,-5.1043E-05,0.005207742,-0.002507124,-0.002112191,0.002852951,0.007357146,0.00635198,-0.002891181,0.002351743,-0.005335868,-0.004937741,
1992-02-05,-0.005472892,-0.007203736,-0.007159642,-0.005308378,-0.001271511,-0.005966183,-0.003953949,-0.001731155,-0.001678863,0.000153122,-0.000511474,5.4888E-05,0.001880982,0.00121417,0.005675187,0.000195063,-0.001538703,-0.000762731,-0.001485963,0.000347901,0.004402363,-0.000317975,0.00172803,0.006444378,0.000960238,-0.000774888,-0.000720948,0.001111581,0.005170672,0.000444251,0.002495954,-0.001836078,-0.000665846,-0.004201031,-0.005931836,-0.00588584,-0.004039175,-0.004698517,-0.002679576,-0.001168409,-0.001523695,-0.003251125,-0.003201331,-0.001367577,-0.002028831,
1992-02-06,0.002777029,-0.002136715,0.003428556,-0.00338551,0.001446338,-0.003285607,0.00337919,-0.004912065,0.000647871,-0.006155513,-0.006052041,0.005569605,-0.001252991,-0.001155853,0.003176682,0.005958435,0.001036172,0.001113953,0.006615045,-0.000220473,0.004625742,-0.000124608,0.006567951,0.002061409,0.004844323,-7.99693E-05,0.005499773,-0.001335091,0.003510993,-0.001237721,0.005451848,0.00683953,9.56216E-05,0.00133048,-0.00358201,0.001980041,-0.004827907,-0.004726138,0.001929633,0.006752371,-0.000594016,-0.005495988,5.17644E-05,-0.006735765,-0.006631613,
1992-02-07,0.003517851,-0.007143905,-0.000446878,-0.006745181,0.003284946,-0.006956095,0.004376556,-0.01065905,-0.003968421,-0.010254169,-0.010460992,0.00670889,0.000386225,0.000167079,0.006956994,0.01048095,-0.000198285,-9.97821E-05,0.006519028,0.000188712,0.010248272,-3.05117E-05,0.011354082,0.00706021,0.01058578,-9.83467E-05,0.0066222,0.000288627,0.010353015,6.91805E-05,0.011459519,0.006332634,-0.000219116,0.000233107,-0.010425193,-0.003734757,-0.010020712,-0.010227761,0.001085338,0.006560231,-0.000848551,-0.011486966,-0.004810537,-0.011081239,-0.011286647,
1992-02-10,-0.005358729,0.003208575,0.007835872,-0.000140841,-0.003322867,0.000228446,-0.00400156,0.008564782,0.013198426,0.005207738,0.005571717,0.00462373,-0.003345013,-0.002972519,-0.00287669,-0.008242518,0.000336261,-0.003419633,0.00496573,-0.003013179,-0.006204273,-0.002640711,-0.006888172,0.000548859,-0.004818611,0.003762608,0.008398393,0.000406615,-0.00277934,0.000775807,-0.003458021,0.007990637,0.000369594,-0.002035677,0.006529076,0.011159767,0.003175329,0.00354129,-0.000673346,0.007627512,-0.00136103,0.007190148,0.011814299,0.00384087,0.004205748,
1992-02-11,0.007799577,0.016347793,0.005743745,0.015724105,0.003984877,0.015901353,0.004073841,0.008549083,-0.002062348,0.007936518,0.008120955,-0.010623711,-0.000600514,-0.000408066,-0.016574141,-0.008767272,-0.000204788,0.001153812,-0.010840088,-0.000805683,-0.012587577,-0.000612864,-0.012523283,-0.017735335,-0.009926137,-0.001360661,-0.012000677,-0.001960046,-0.013747727,-0.001766058,-0.013685198,-0.010036101,0.000192127,0.003814238,0.012361854,0.001755343,0.011743916,0.01192481,8.30092E-05,-0.010238509,0.003725862,0.01226086,0.001670034,0.011643988,0.011824716,
1992-02-12,0.001191374,0.012204592,0.006574628,0.007951659,0.004416941,0.007250168,0.000770836,0.011012209,0.005381574,0.006761301,0.006061015,-0.005644231,-0.004237653,-0.004927724,-0.01218149,-0.010990204,3.82513E-05,-0.002097815,-0.005611531,-0.00420369,-0.007761707,-0.004894555,-0.011429145,-0.010083657,-0.008891769,0.002139419,-0.003509642,-0.002106486,-0.005662199,-0.002799561,-0.009327714,-0.001398161,-0.00069503,-0.003224741,0.007787574,0.002153683,0.003541069,0.002843859,-0.0036517,-0.000701218,0.000421047,0.011417103,0.005795039,0.007171803,0.006472226,
1992-02-13,0.005856733,0.017851768,0.006953659,0.012831778,0.000514402,0.016009626,0.003356423,0.011995325,0.001092296,0.006983284,0.010165563,-0.010918644,-0.004998211,-0.001805189,-0.011666101,-0.005804107,0.006207355,-0.002016404,-0.004714971,0.00119647,-0.011153057,0.004387391,-0.008323864,-0.009648835,-0.003785659,0.008227223,-0.002694856,0.003213052,-0.009135382,0.006402917,-0.006303022,-0.00591608,0.003192944,0.005341475,0.017334691,0.006437832,0.012316177,0.015493917,0.002840832,-0.009126881,0.002501411,0.014479046,0.003594087,0.009471086,0.012646775,
